block,trial,flankers,firstTime,firstValue,detectTime,detectValue,timeDifferent
2,23,congruent,0.359226942062,-0.921597949156,0.379217863083,-0.349040192877,0.019990921020999974
2,24,neutral,0.416231155396,-0.890224921415,0.4362449646,-0.498062074648,0.020013809204000033
2,25,congruent,0.3728120327,-0.913754692221,0.392791032791,-0.403942991424,0.01997900009100001
2,26,neutral,0.361111879349,-0.929441206091,0.381110906601,-0.356883449812,0.01999902725199998
2,27,incongruent,0.509160995483,-0.976500747703,0.537151098251,-0.388256477554,0.02799010276800007
2,28,neutral,0.485027074814,-0.929441206091,0.505012989044,-0.451002533036,0.019985914230000068
2,29,neutral,0.40120100975,-0.960814233833,0.437171936035,-0.42747276223,0.03597092628499998
2,30,neutral,0.415964126587,-0.929441206091,0.427946090698,-0.42747276223,0.011981964110999999
2,31,neutral,0.420600175858,-0.937284463027,0.444600105286,-0.419629505295,0.023999929428
2,32,congruent,0.385262012482,-0.937284463027,0.421242952347,-0.42747276223,0.035980939865000006
3,1,incongruent,0.595936059952,-0.960814233833,0.623901128769,-0.380413220618,0.027965068816999894
3,2,neutral,0.455847978592,-0.88238166448,0.479827880859,-0.42747276223,0.02397990226700003
3,3,congruent,0.383543968201,-0.952970976897,0.427521944046,-0.498062074648,0.04397797584500002
3,4,incongruent,0.457286119461,-0.905911435286,0.485279083252,-0.443159276101,0.02799296379099997
3,5,neutral,0.455002069473,-0.945127719962,0.482993841171,-0.403942991424,0.027991771698000045
3,6,congruent,0.401104927063,-0.937284463027,0.429039955139,-0.474532303842,0.027935028076000012
3,7,incongruent,0.409097194672,-0.929441206091,0.845090150833,-0.325510422071,0.435992956161
3,8,congruent,0.464756011963,-0.89806817835,0.484762907028,-0.41178624836,0.02000689506500003
3,9,incongruent,0.317142009735,-0.890224921415,0.3531229496,-0.458845789972,0.035980939865000006
3,10,neutral,0.297169923782,-0.945127719962,0.325155973434,-0.419629505295,0.027986049651999967
3,11,neutral,0.548150062561,-0.952970976897,0.56814289093,-0.364726706748,0.01999282836900007
3,12,neutral,0.419919013977,-0.913754692221,0.439908981323,-0.466689046907,0.019989967346000004
3,13,neutral,0.436489105225,-0.976500747703,0.464514017105,-0.419629505295,0.028024911880000003
