data,block,trial,oneTrigger,trigger
10_2011_11_29_11_08_,5,13,1,left
10_2011_11_29_11_08_,5,14,1,left
10_2011_11_29_11_08_,5,15,1,left
10_2011_11_29_11_08_,5,16,1,right
10_2011_11_29_11_08_,5,17,1,right
10_2011_11_29_11_08_,5,18,1,left
10_2011_11_29_11_08_,5,19,1,right
10_2011_11_29_11_08_,5,20,0,left/right
10_2011_11_29_11_08_,5,21,1,right
10_2011_11_29_11_08_,5,22,1,left
10_2011_11_29_11_08_,5,23,1,left
10_2011_11_29_11_08_,5,24,1,right
10_2011_11_29_11_08_,5,25,1,left
10_2011_11_29_11_08_,5,26,0,left/right
10_2011_11_29_11_08_,5,27,1,right
10_2011_11_29_11_08_,5,28,1,right
10_2011_11_29_11_08_,5,29,0,left/right
10_2011_11_29_11_08_,5,30,0,left/right
10_2011_11_29_11_08_,5,31,1,left
10_2011_11_29_11_08_,5,32,1,right
10_2011_11_29_11_08_,6,1,1,right
10_2011_11_29_11_08_,6,2,1,left
10_2011_11_29_11_08_,6,3,1,left
10_2011_11_29_11_08_,6,4,1,right
10_2011_11_29_11_08_,6,5,1,right
10_2011_11_29_11_08_,6,6,1,right
10_2011_11_29_11_08_,6,7,1,left
10_2011_11_29_11_08_,6,8,1,right
10_2011_11_29_11_08_,6,9,1,left
10_2011_11_29_11_08_,6,10,1,right
10_2011_11_29_11_08_,6,11,1,right
10_2011_11_29_11_08_,6,12,1,right
10_2011_11_29_11_08_,6,13,1,left
10_2011_11_29_11_08_,6,14,1,left
10_2011_11_29_11_08_,6,15,1,right
10_2011_11_29_11_08_,6,16,1,left
10_2011_11_29_11_08_,6,17,1,right
10_2011_11_29_11_08_,6,18,0,left/right
10_2011_11_29_11_08_,6,19,0,left/right
10_2011_11_29_11_08_,6,20,1,left
10_2011_11_29_11_08_,6,21,1,left
10_2011_11_29_11_08_,6,22,0,left/right
10_2011_11_29_11_08_,6,23,1,left
10_2011_11_29_11_08_,6,24,0,left/right
10_2011_11_29_11_08_,6,25,1,right
10_2011_11_29_11_08_,6,26,1,right
10_2011_11_29_11_08_,6,27,1,left
10_2011_11_29_11_08_,6,28,1,left
10_2011_11_29_11_08_,6,29,1,left
10_2011_11_29_11_08_,6,30,1,right
10_2011_11_29_11_08_,6,31,1,right
10_2011_11_29_11_08_,6,32,1,right
10_2011_11_29_11_08_,7,1,1,right
10_2011_11_29_11_08_,7,2,1,left
10_2011_11_29_11_08_,7,3,1,left
10_2011_11_29_11_08_,7,4,1,right
10_2011_11_29_11_08_,7,5,1,left
10_2011_11_29_11_08_,7,6,0,left/right
10_2011_11_29_11_08_,7,7,1,right
10_2011_11_29_11_08_,7,8,0,left/right
10_2011_11_29_11_08_,7,9,1,right
10_2011_11_29_11_08_,7,10,1,right
10_2011_11_29_11_08_,7,11,1,right
10_2011_11_29_11_08_,7,12,1,left
10_2011_11_29_11_08_,7,13,1,left
10_2011_11_29_11_08_,7,14,1,right
10_2011_11_29_11_08_,7,15,1,right
10_2011_11_29_11_08_,7,16,1,right
10_2011_11_29_11_08_,7,17,1,left
10_2011_11_29_11_08_,7,18,1,left
10_2011_11_29_11_08_,7,19,1,right
10_2011_11_29_11_08_,7,20,1,left
10_2011_11_29_11_08_,7,21,1,right
10_2011_11_29_11_08_,7,22,1,right
10_2011_11_29_11_08_,7,23,1,left
10_2011_11_29_11_08_,7,24,1,right
10_2011_11_29_11_08_,7,25,1,left
10_2011_11_29_11_08_,7,26,1,right
10_2011_11_29_11_08_,7,27,1,right
10_2011_11_29_11_08_,7,28,1,right
10_2011_11_29_11_08_,7,29,1,left
10_2011_11_29_11_08_,7,30,1,left
10_2011_11_29_11_08_,7,31,1,left
10_2011_11_29_11_08_,7,32,1,left
10_2011_11_29_11_08_,8,1,1,right
10_2011_11_29_11_08_,8,2,1,right
10_2011_11_29_11_08_,8,3,1,right
